language_no	number of nominal cases	overallN	transitives	intransitives	transitivity_ratio	intransitivity_ratio	number_of_classes	entropy_nat	normalised_entropy	entropy_of_intransitives_nat	X	Y	XY
60	1	114	41	73	0.36	0.64	32	2.53952376	2.514128523	2.945740815	17	56	0
69	4	125	40	85	0.32	0.68	37	2.733055081	2.70572453	3.0973318	22	63	0
81	26	113	32	81	0.28	0.72	29	2.611100156	2.584989155	2.811276847	26	50	5
115	42	125	34	91	0.27	0.73	29	2.646009625	2.619549528	2.830730317	24	60	7
85	21	123	36	87	0.29	0.71	26	2.603705121	2.57766807	2.826410831	24	58	5
2	3	126	72	54	0.57	0.43	14	1.59991322	1.583914088	2.139678602	5	49	0
111	38	122	38	84	0.31	0.69	23	2.393407035	2.369472965	2.57526162	29	51	4
76	1	123	49	74	0.4	0.6	15	2.040689987	2.020283087	2.274408164	6	58	10
119	24	122	35	87	0.29	0.71	29	2.703997679	2.676957702	2.951360205	23	55	9
27	6	127	54	73	0.43	0.57	13	1.62606901	1.60980832	1.642570987	7	64	2
94	1	109	53	56	0.49	0.51	14	1.752892776	1.752892776	2.06345642	14	42	0
90	1	127	71	56	0.56	0.44	13	1.608690992	1.592604082	2.092177892	7	49	0
30	1	119	80	39	0.67	0.33	19	1.477798621	1.463020634	2.579060901	3	36	0
120	34	122	36	86	0.3	0.7	23	2.300523841	2.277518603	2.402952215	24	60	2
63	7	128	57	71	0.45	0.55	23	2.205645013	2.183588563	2.737561711	6	64	1
89	1	127	75	52	0.59	0.41	12	1.558343086	1.542759655	2.153347957	0	52	0
79	26	122	36	86	0.3	0.7	29	2.61547843	2.589323645	2.805678392	16	65	5
122	9	120	41	79	0.34	0.66	17	2.121510542	2.100295436	2.24715305	16	60	3
118	37	123	42	81	0.34	0.66	22	2.369343	2.34564957	2.623000232	16	61	4
124	24	111	33	78	0.3	0.7	23	2.412226981	2.388104711	2.566761289	23	54	1
109	34	117	35	82	0.3	0.7	25	2.534497351	2.509152377	2.745731708	22	58	2
32	1	125	75	50	0.6	0.4	13	1.489962241	1.475062619	2.042376436	0	50	0
46	6	104	57	47	0.55	0.45	11	1.525331853	1.525331853	1.851674868	6	41	0
29	2	127	81	46	0.64	0.36	14	1.405008359	1.390958276	2.071569291	0	46	0
4	14	129	32	97	0.25	0.75	16	2.004141726	1.984100309	1.920298931	6	90	1
66	15	129	42	87	0.33	0.67	15	1.886986539	1.868116673	1.862317168	4	80	3
9	1	127	73	54	0.57	0.43	10	1.509414933	1.494320784	1.946159523	5	49	0
